"","pick_house","country","state","age","fandoms_partof","books_longingly","activism_mean","consider_activist_3_TEXT","consider_wactivist_4_TEXT","why_consideractivist","whynot_activist","whatis_wactivist","whatmore_wactivist","whystay_hpa","howlearn_hpa","hpa_moreof","female"
"12","Ravenclaw","USA","Pennsylvania",28,"I used to be a Doctor Who fan, but I mostly identify with Harry Potter. I grew up with the books and have an emotional investment in that universe.","Harry Potter! (I'm re-reading the whole series)","Working to bring awareness and change to social issues in our world. I usually associate activism with politics - Working to change laws, ideas, and policies for the better. But it's as important to help change attitudes and beliefs of family, friends, co-workers, etc.","","Yes and no. I love the idea, but most of my activism takes place outside of the HPA","I'm a privileged, white, upper-middle class, cisgender, heterosexual woman. I've had an easy life. But I've always felt compassion and empathy for those who haven't. When I was really little I wanted to befriend the kids who looked lonely, bullied, or without friends. In high school I helped co-found a chapter of STAND (Students Taking Action Now: Darfur) to raise awareness and funds to stop the genocide taking place in Darfur, Sudan. I continued working with STAND chapters throughout college. I participated in Christian missions trips, volunteered in the community, joined the board of a local youth suicide prevention non-profit (and became their artistic director) and now I work full-time for a sexual violence prevention nonprofit. It's always been an integral part of who I am to try and help those around me, in the best way I can. I'm introverted so I don't network a lot, I don't give public speeches or organize events. But I love using graphic design to help organizations create a brand, have a professional image, reach their audiences, and raise funds for the important work they do.","","","Probably being more involved specifically with the HPA. Or at least joining a local chapter! I don't think there is one in my area and I don't have the personality to start one.","My love for harry potter and for activism. I identify very strongly with both.","Other","I would to have more things like Accio Books and the Boycott of the chocolate frogs (where there are clear and practical ways to participate). The campaigns that are mostly awareness are great, but I feel like I talk so much about different issues that the people around me start to tune me out. I'd love to have more concrete actions I can take to participate other than education awareness and donations.","Female"
"13","Slytherin","USA","District of Columbia",30,"Food in literature, Potterotica, My Dad Wrote a Porno","Belinda Blinked","Making a positive difference in the community","","","","","","","","Other","","Female"
"14","Ravenclaw","USA","District of Columbia",19,"Broadway, Les Mis","Huntress by Malinda Lo","Taking concrete action to change the world for the better ","I do activist things but I don’t think I do enough to be considered a real activist ","same as previous q","","","A super involved HPA member","do more/bigger things with the HPA with clear results ","I love Harry Potter and want to do more activism","Con or Event","","Female"
"15","Ravenclaw","USA","Connecticut",NA,"","The Call by Peadar O Guilin","","","","","","","","","Social Media","","Female"
"16","Slytherin","Sweden",NA,18,"Harry Potter, My little pony, doctor how.","Om detta talar man endast med kaniner / Anna Höglund","Benig vocal about an  issues  that  is important to me","","","","I don’t do enough ","","Doing more things","Becuase I think it does good and important things","Nerdfighteria","","Female"
"17","Gryffindor","USA","Maine",44,"Star Wars","Originals by Adam Grant","Standing up and taking action for what you believe is right (especially on behalf of those who don't have the access/support/etc. to stand up for themselves) regardless of how insurmountable the opposition appears to be. ","In spirit","","","","? ","? ","interesting posts",NA,"","Female"
"18","Hufflepuff","USA","California",30,"Bioshock, Ratchet and Clank, Anime, Manga","House of Leaves","Fighting for what's right.","","","","I choose the easy way, due to working in customer service","No idea","Hope","","Social Media","","Female"
"19","Ravenclaw","USA","New York",25,"Harry Potter, Panic! at the Disco.","Turtles all the Way Down","Working for social justice, charity, education, and/or political involvement.","","","I am part of activist organizations like the HPA and Arthritis Foundation.","","","Working with higher-ups in the HPA.","It offers a system of support.","Nerdfighteria","wizard rock","Female"
"20","Hufflepuff","USA","Maryland",17,"Ministry of Magic, Hogwarts is home (Goodreads) and AU wizard (Goodreads)","I Hunt Killers by Barry Lyga.","To advocate and promote a cause through raising awareness and fundraising.","","","I have lobbied for what I believe is right more than once. I have attended Youth and Government conferences where I got to express my beliefs.","","Is someone who helps improve the wizarding world and is active throughout it.","Attend the Model UN conference and join the Harry Potter commity","It partnered with She's the First","Chapter","keeping chapters active","Not Female"
"21","Gryffindor","USA","Illinois",50,"Mythical Beast, Trekkie, Pastafarian","""You Don't Have to Say You Love Me"" by Sherman Alexie","Activism means using one's voice, energy, experience, talents and community connections to foster positive social change locally, nationally or internationally. ","","","I reach out to and with colleagues and friends to create and/or support events, outreach efforts or other activities that promote positive social change. Sometime this takes the form of active protest, sometimes this takes the form of teaching others, and sometimes it takes the form of raising funds or collecting goods to donate to those in need.","","","","The HPA combines community with the power of imagination to put positivity and social change into the world.","Nerdfighteria","","Female"
"22","Ravenclaw","USA","New York",26,"Once Upon a Time, Rick Riordan, Tamora Pierce, Mercedes Lackey","The Traitor Prince, The Forbidden Temptation of Baseball, A Scandal in Battersea","","","","","","","","","Friend","","Female"
"23","Slytherin","USA","New York",30,"Star Wars (Clone Wars Era) mostly, comic books like Bitch Planet, Saga, and Lumberjanes, Avatar: The Last Airbender/Legend of Korra","Book of Dust by Philip Pullman","The price of admission for living on the planet.","","","Taking part in marches, rallies, and education about issues facing communities in my city. ","","I couldn't say. ","Magic powers?","In hopes their scope of activism will include more people. ","Con or Event","Racial justice work. ","Female"
"24","Ravenclaw","USA","Wyoming",31,NA,"The Sunne in Splendour by Sharon Kay Penman","Working with allies to effect positive social change","","","I work for an environmental nonprofit","","No idea","More information","Likd feeling connected to a group of like-minded individuals","Social Media","","Female"
"25","Ravenclaw","USA","Pennsylvania",44,"Fangirl (Star Wars) / Whovian / Browncoat / ","Quiet (almost done listening now)","","","","","","","","",NA,"","Female"
"26","Ravenclaw","USA","New York",22,"Brooklyn 99, star wars, Percy Jackson series’s, once upon a time, marvel cinematic/television universe","The rules of magic by Alice Hoffman ","Activism is taking steps to improve the lives of people thoughtfully and with listening and compassion and doing so in a way as to effect large-scale change","","","I try to seek opportunities to participate in activism that will impact the causes I care about ","","","Being able to participate in more events through my chapter ","","Con or Event","","Female"
"27","Hufflepuff","USA","North Carolina",26,"Marvel Cinematic Universe, BBC Sherlock, Game of Thrones","The Tales of Dunk and Egg by George R.R. Martin","","","","","Because signing online petitions doesn't seem like enough","Someone who goes above and beyond to spread the HPA word...?","","","Social Media","","Female"
"28","Hufflepuff","Canada",NA,20,"","La mémoire de Babel, from Christelle Dabos","","","","","","","","","Social Media","","Female"
"29","Ravenclaw","USA","Massachusetts",26,"Crazy Ex Girlfriend","Besides my annual reread of Harry Potter? No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State by Glenn Greenwald","Taking action. Helping those in need. Doing what's right. Defending the rights of or somehow improving the lives of a group of people. ","","","I try to stand up for those who do not have a voice by contributing money or my time to organizations who causes I believe in and who I can trust. ","","An activist whose beliefs align with the values promoted by the Potter books, namely: love, equal rights, anti censorship, etc.","Not sure. Perhaps belonging more to a community of activists and Harry Potter fans.","I am not that involved, but I do my best to somehow contribute to its campaigns when I can because I believe in what it stands for and I believe in the integrity of the people running this organization.",NA,"Engagement with policymakers or corporations.","Female"
"30","Slytherin","USA","Massachusetts",44,"","","","","","","","","","","Social Media","","Female"
"31","Gryffindor","USA","Washington",44,"","You Don't Have to Say You Love Me, by Sherman Alexie","","","","","","","","","Nerdfighteria","I wish there was a general kindness and empathy campaign focused on the idea that the Weapon awe Have Is Love. (Also: This seems trivial, but I REALLY want a The Weapon We Have Is Love t-shirt.)","Female"
"32","Hufflepuff","USA","Arizona",27,"Doctor Who, Nerdfighteria ","The Rosie Project","It means volunteering to show up to raise awareness and fight for a cause. ","","","I advocate for women's rights, domestic violence and sexual assault education and survivors, sex education and other human rights that are dear to my heart.  ","","","Working for the HPA. ","I love the fandom and I truly believe the Alliance can continue to do amazing things through a series. ","Social Media","","Female"
"33","Hufflepuff","USA","Oregon",19,"Doctor Who, Steven Universe, Sherlock, My Hero Academia","I’ll Give You the Sun","","","","","","","","","Social Media","","Female"
"34","Hufflepuff","USA","Connecticut",29,"Lord of the Rings, Star Wars","The Alchemist","","","","","","","","","Chapter","","Female"
"35","Ravenclaw","USA","Maryland",48,"Star Wars, Star Trek, LOTR, Outlander, Tru Blood, Forever Knight, Highlander, Monty Python, Sci-Fi/Fantasy literature, Game of Thrones, ","Farewell to Manzanar","Speaking out against various injustices and volunteering in your community to make things better.","","","I volunteer as a weed warrior (removal of invasive species of plants) in my local community, I speak to others about invasive species removal, I knit scarves for homeless people, I’ve organized a food drive at Work, ","","Harry Potter fan supporting progressive community projects","To have a local group with which to do stuff","I like the conferences and the news articles. I also try to support the various charity drives when I can.","Social Media","More local chapters with broader age ranges.","Female"
"36","Gryffindor","USA","California",38,"","Glass Houses by Louise Penny","Standing up, speaking up, not being a bystander to injustice","","","I march, I send postcards and faxes, and I joined a political club","","","Joining HPA activities","It’s my tribe","Social Media","","Female"
"37","Hufflepuff","USA","Missouri",25,"Lord of the Rings, Dragonriders of Pern, Cat Valente’s Fairyland books","Gather the Daughters","Making a difference in tangible ways, through protesting, calling politicians, educating family and friends, etc. ","Mental health issues keep me from activities I define as activism","","","","Someone who engages in activism through a wizard lens?","If I could actually engage in activism ","I like it’s mission","Social Media","Sharing ways to be a digital activist","Female"
"38","Hufflepuff","USA","Washington",23,"YouTube communities- Nerdfighters, Dan and Phil, Zoella/ PointlessBlog","A Thousand Splendid Suns by Khaled Hosseini","Using your voice/skill set/ talents/ resources to promote a cause/ idea/ policy/ specific action you believe would be helpful in creating better circumstances for yourself or others in your community.  ","","","Everyday I am an advocate and activist in my community for my clients. I serve low-income children and families. I help them gain skills to thrive in their own community through mental health care and I serve as an advocate for them in the school/ justice/ social service system setting. I am constantly working towards creating better circumstances for my client's and the people around them. /  / On a more macro level, I participate in political campaigns and policy agenda campaigns to better my community on a more broad scale. ","","","If I was commected to a physical community as opposed to just a virtual community. ","They do good work and I want to be a part of the good work they do.","Nerdfighteria","","Female"
"39","Hufflepuff","USA","Connecticut",66,"","Common shock","Integrity","","","Protesting advocating lifelong","","","","","Social Media","","Not Female"
"40","Ravenclaw","USA","New Jersey",26,"It changes over time, not really engaged in any other specific fandoms right now","Turtles All the Way Down","Working to make positive change in the world","","","","Because I have a hard time actually taking action","Using the power of story to inform your activism","If I felt like more of an activist at all","I like the work the HPA does and the community around it","Other","","Not Female"
"41","Ravenclaw","USA","Pennsylvania",15,"","Harry Potter and the Chamber of Secrets","Advocating for those who can’t advocate foe themselves","","","I try to speak up for others","","No idea","","It helps me learn about issues that I otherwise would not have known about","Social Media","Stuff involving petitions/advocacy instead of fundraising","Female"
"42","Ravenclaw","Netherlands",NA,24,"Percy Jackson, nerdfighteria","The break by Katherina vermette!","Being a voice for the marginalised groups that you are a part of,  being an ally for the other marginalised groups you aren't part of. Being an educator. Working to do so much good. ","","","I'm a voice for my people,  the indigenous peoples in Canada. I'm a politically active person. I'm a educator to promote education and Reconciliation.","","A bunch of Harry potter fans working to make the world's a better place","Some idea of what you think one is! ","I love your work booklets for different issues","Social Media","Shorter easier to share info packages like the chocolate frog cards.  Easier to get ppl to read! ","Female"
"43","Gryffindor","Canada",NA,26.5,"Sherlock, Outlander, Hunger Games, Doctor Who","The Night Circus","Being involved in activities and communities that work to make society a better place for everyone to live.","","","I'm active politically and work in the non-profit sector to bridge barriers and social exclusion.","","Someone who uses the ideals and core values of the Harry Potter books to make the world better - and cites them as a source of their activism when asked about their work.","Being more able to tie my work in to the HPA's work without feeling silly or childish for taking inspiration from the HP novels. Sometimes I still have to fight for them to be counted as real literature, so I'm shy to link my work directly to their ideals.","I believe the work you are doing is important.","Social Media","Connecting changemakers to one another so inter-city dialogue can happen. This can happen in an online space like Facebook!","Female"
"44","Gryffindor","USA","North Carolina",18,"Percy Jackson, Musical Theater, Check, Please!, a plethora of podcasts, and I don’t know if there’s a cryptid/ghost/folklore fandom exactly but I’m definitely in that zone.","Blue Lily, Lily Blue by Maggie Stiefvater","Taking action in your community to create positive change.","I aspire to be one","","","","","Having the energy to do a little more of the activist part.","Because the friends I’ve made through the HPA have encouraged me to.","Social Media","","Not Female"
"45","Slytherin","Australia",NA,25,"","The First Third by Will Kostakis","Activism means standing up for and believing in the goodness of the world.","","","I have stood with others in spreading education in order to bring about political and social change. ","","An activist that works as part of the HPA.","A more active HPA chapter in Sydney, that reaches out and spreads word of themselves in order to actually effect change in the country.","","Nerdfighteria","Spread word of itself.","Female"
"46","Hufflepuff","USA","Washington",43,"Dr. Who, Big Hero Six, LOTR, Hamilton, Glee","Uprooted","Using everything you have to make sure that the world is a better place because of you. Not just leveling the playing field, but providing boxes for some to stand on to see over the fence. Using all my resources to make he world my daughter inherits better than the one I did. ","","","Because I use my words and money and body to back up my beliefs. Otherwise I’d just be a philosopher. ","","Someone who adds magic to their quiver of resources. ","Doing activist things with other wizards in RL","Haven’t really yet. I’m new!","Con or Event","I don’t know yet. :)","Female"
"47","Slytherin","Germany",NA,20,"Lord of the rings, star wars, star trek","Ghost","","","","","","","","",NA,"","Female"
"48","Hufflepuff","Canada",NA,16,"Percy Jackson, Magnus Chase, MCU, ...","Arthur Rimbaud, Illuminations","trying to change things, help people, ","","","","","no idea","no idea","","Social Media","","Female"
"49","Ravenclaw","USA","New York",46,"Doctor Who / Marvel / Star Wars / Game of Thrones","Sing, Unburied, Sing by Jesmyn Ward","Being engaged in the works towards making social / Change. ","","","Because I have committed the work I do in life towards making change","","An activist that embodies the HP ethos","If I were more actively connected with group of HP fan activists ","I admire the work the Alliance does to mobilize fandom towards good and change.","Social Media","Real life organized meetings","Female"
"50","Gryffindor","USA","Missouri",28,"Disney, Broadway, Parks & Rec, Stranger Things","Turtles All The Way Down - John Green","To me, activism means taking injustice in the world and working hard to improve them. It's about making the world a little better and a little more fair for the next person. ","","","I spend at least a little time each day learning, organizing, educating, or working toward some form of social justice improvement. It might be as quick as calling my representatives or as lengthly as leading a conversation in my HPA chapter on diversity in our city. I am pursing my masters in an area that will allow me to continue this professionally. ","","","If we could convince muggles to believe in magic. ","I believe in what the HPA stands for. I believe that using something like HP to connect fans with issues in the real world is important. The HPA has helped me feel more confident that the small amount of activism I am capable of is important. ","Social Media","Racial diversity","Not Female"
"51","Gryffindor","USA","Utah",32,"Star Wars, Batman ","Broken Harbor ","It means helping make the world be a better place ","","","Because I do what I can do to try and help ","","","Joining a chapter ","Because they help with important issues ","Other","","Female"
"52","Ravenclaw","USA","Virginia",20,"Hello Internet (podcast) ","Turtles All the Way Down, reread Harry ","Pushing for change, on a small scale or large scale, in an attempt to improve our world. ","","","I have working within my own small community (college campus) to improve sustainability, and am currently working to expand our counseling center. I have also engaged in fundraising events for a variety of organizations and have contacted representatives both on my own and through organizations like Global Citizens.  ","","A cool name for a regular activist? ","More HPA campaigns that aren't focused just on fund raising that I could participate in","I like what we do, and I love the creative use of fandoms.","Nerdfighteria","Non financial ways to be involved in campaigns ","Female"
"53","Hufflepuff","USA","Indiana",24,"Buffy the Vampire Slayer, Steven Universe, Voltron, Marvel (Netflix), Avatar/Korra, ","Turtles All the Way Down by John Green","Activism means being engaged in my communities (both online and irl) and actively working to promote positive changes. ","","","Because I work to create change, to address problems, and to find ways to talk about issues. I consider myself an activist because I have to be.","","","Maybe a tattoo...","Because I love it","Social Media","Major collaboration with other organizations ","Not Female"
"54","Slytherin","USA","Maryland",31,"","Good Omens","Education, justice","","","","","","","",NA,"","Female"
"55","Gryffindor","USA","Texas",55,"Doctor Who, Sherlock, Supernatural, Star Trek, Star Wars","The View From the Cheap Seats, Neil Gaiman","Using my voice, and helping others find a way to use their voices to make a difference. ","","","I regularly march, attend protests, volunteer for the Human Rights Campaign and clinic defense. ","","No idea.","","I have only recently discover it.","Social Media","","Female"
"56","Gryffindor","Pakistan",NA,30,"","Sophia Khan is not obliged","A way of life / ","","","It's a term others use for me because of the work I do. For me, I take up issues important to me","","Someone who is an activist in the real-world who is able to use references from the Harry Potter world to further their cause","To connect with other Wizard Activists","I only follow updates on Facebook","Social Media","","Female"
"57","Hufflepuff","USA","New Hampshire",30,"Star Trek","Diary of a part time Indian by Sherman alexie","Working to make the world a more just/equitable place","","","I am actively engaged in social justice initiatives that apply to my communities and causes that I care about","","","Having more wizard activists in my area to engage in action with","I like that it fosters a mixture of some of my interests","Social Media","Opportunities for different houses to be more independent of each other? ","Not Female"
"58","Slytherin","USA","Ohio",20,"bandom (all time low, fall out boy, etc.), Harry Potter, Star Wars, Disney, Marvel","The Hate U Give by Angie S. Thomas","Being aware of relevant issues in the world & not being afraid to stand up & say something about them.","","","I have started to speak out more on issues relevant to me and relevant to the world around me","","","","",NA,"","Female"
"59","Ravenclaw","USA","Tennessee",21,"Steven Universe, anime, Avatar:  The Last Airbender, Pokémon ","Good Morning, Midnight","To promote the awareness significant issues relating to current events on an economical, social, or political level","","","I use social media to promote relative issues online","","","Being able to participate more in the community","","Social Media","","Female"
"60","Slytherin","USA","North Carolina",31,"Lost, Doctor Who","Not sure - I tend to re-read beloved books","Never staying silent, never accepting the status quote, putting yourself at risk for the betterment of others, pursuit of justice ","","","My Judaism drives me to see my responsibility to heal a broken world","","","More connections with HPA members ","Just started! Hoping to meet others who are passionate about the same things.","Social Media","Event ideas for local chapters","Female"
"61","Hufflepuff","Canada",NA,17,"Sarah J Maas, raven boys, tigers curse, Sherlock","Grave mercy ","Changing the world through many small actions everyday to make the world a better place.","","","I have been working in the social justice world since I was 13 to fight for a better world. ","","","","","Social Media","","Female"
"62","Ravenclaw","USA","Utah",38,"None","Kavelier & clay","Doing everything I can toward creating a world that is good for everyone. Being part of a community I am proud of","","","Daily and long term public efforts toward inclusive communities","","","","I support everything HPA!","Social Media","Nothing! Keep doing what you're doing","Female"
"63","Gryffindor","USA","Massachusetts",25,"Lord of the Rings ","The Good Immigrant","Actively working for social justice","","","I spend every week fighting for the rights of undocumented people as a volunteer with local organizations. ","","Not sure","","Why not","Social Media","","Female"
"64","Hufflepuff","Netherlands",NA,21,"A lot","Edgar Allan Poe - The Raven","Changing ideas, norms and values","","","I try to change ideas, norms and values","","","activeness","",NA,"","Female"
"65","Hufflepuff","Great Britain",NA,56,"","Fantastic Beasts and Where to find them.","Keeping alive that which you love, appreciate and wish to continue to hold dear.","","","","Too busy!","No idea","","Interested in anything Harry Potter ....","Social Media","","Female"
"66","Hufflepuff","Singapore",NA,29,"Middle-earth","Fangirl by Rainbow Rowell","","","","","","","","","Social Media","","Female"
"67","Hufflepuff","USA","Illinois",20,"BookTube, Harry Potter, YA New Adult Literarure","What Happened by Hillary Clinton, The Rest Of Us Just Live Here by","Harry Potter means a lot to me. Harry Potter plus activism means more to me than 180 characters.","","","My upbringign and my understanding of feminism.","","","Getting to go to GLA again. Having enough money. Qualifiying for the scholarship.","Keeping up with new information!","Nerdfighteria","Scholarships! Smaller city events!","Female"
"68","Ravenclaw","USA","Florida",29,"","","","","","","","","","",NA,"","Female"
"69","Slytherin","USA","Nebraska",21,"Gilmore Girls, Marvel, Disney","Turtles All The Way Down","Speaking up for what you believe in","","","I speak up for what I believe in.","","","More ways I can involve myself from my more secluded location","I love the friends and the community that is build here.","Con or Event","Interactive campaigns","Female"
"70","Ravenclaw","USA","New Hampshire",31,"Supernatural, Doctor Who, True Crime, Stranger Things, YA Novels, ","Words on Bathroom Walls by Julia Walton","Activism is doing everything in your power to do good, and doing your best to inspire others to do so as well.","","","I am trying my very best to fight world suck and get people I know to do it alongside me.","","","I feel very involved in wizard activism. ","I love the atmosphere and the people I have met.","Other","","Female"
"71","Ravenclaw","Canada",NA,21,"'- Disney / - Marvel (mostly the movies) / - DC (mostly the comics and sometimes The Flash television show) / - theatre (Broadway and the like) / - Glee / - various internet creators (YouTubers and bloggers) / - various animated shows/movies (Western and Japanese) / - Survivor / - Got Talent franchise / - Dance Network (mostly the TV dance umbrella of World of Dance/Dancing With the Stars/So You Think You Can Dance","""Eleanor and Park"" by Rainbow Rowell","Consciously putting time, effort, and resources toward a social, political, or environmental cause.","","","I am always focused on global issues and making the world a better place.","","","Being more involved in the HPA (probably via becoming part of a chapter, volunteering remotely, and attending more events like GLA/LeakyCon/etc and participating in the HPA leadership programming there).","I want to get involved in helping the world using the tools taught by the HPA and it seems like a good community I'd like to be more involved in.","Social Media","open discussions about issues (maybe a forum on the site for Wizard Activists to discuss campaigns and ideas for chapters?)","Female"
"72","Gryffindor","USA","Iowa",36,"Doctor Who, Star Trek","Where Am I Now by Mara Wilson","getting out and helping the community. making people aware of issues","","","because I am active in my community.","","I have no idea","actually having some way for me to be involved that doesn't involve me having to donate a ton of money or start my own chapter","because I like Harry Potter","Social Media","give people a way to participate that doesn't involve money","Female"
"73","Ravenclaw","USA","Vermont",23,"","The Hate U Give","","","","","","","","",NA,"","Not Female"
"74","Gryffindor","Great Britain",NA,18,"Criminal minds , walking dead and hunger games ","Eleanor Oliphant is completely fine ","Someone who’s trying to make a difference and change something for what they believe is the greater good. ","","","I consider my self an activist because I always try to change the lives of animals who are being poorly treated or educate others. ","","it means a lot of things ","I’m not to sure yet ","I’ve just joined and I’m doing my best to read up on everything.","Social Media","Your doing everything great ","Female"
"75","Ravenclaw","Great Britain",NA,28,"","Girl in the ice by Robert Bryndza","Doing my bit to spread the right ideas","","","I want to make the world a better place.","","Someone practically involved in HPA activities","If my country got its head out of the sand and accepted fandoms","oh where to begin! &lt;3","Other","International  campaigns","Female"
"76","Ravenclaw","USA","California",47,"Harry Potter is my main fandom. I also love Star Wars, The X-Files, and Game of Thrones, but I am not as active online in those fandoms. ","Harry Potter, of course. ","Having a voice and standing up for what you believe in. ","","","Because I care about the world I live in, and I hate to see injustice. ","","Someone who cares about the world at large, believes in magic, and speaks up for the rights of others","","Because I love Harry Potter, and I care about the world I live in. Combining those two things is a no-brainer for me. ","Social Media","","Female"
"77","Gryffindor","Sweden",NA,29,"Star Wars","""The Book Thief""","Helping out, being active in the community, the world, making the world a better place. ","","","Because I do my best to make the world a better place, I think you can do that in different ways, I speak up for things I believe in, I try to share things on social media, and I donate money to different causes whenever I am able to. ","","Someone who likes Harry Potter, and is an activist? ","Um, not sure, would need to know the actual definition first, as I am guessing right now. ","I am not",NA,"","Female"
"78","Slytherin","USA","Massachusetts",26,"X-Files, Disney, Study.","Carry On by Rainbow Rowell ","dedication to promote a type of effort/cause that will benefit others","","","I am willing to stand up for my beliefs and promote improvements when they're needed","","","being more active","","Con or Event","","Female"
"79","Hufflepuff","USA","Iowa",34,"ATLA, Steven Universe, Marvel, Star Wars","Secret Loves of Geek Girls","Taking a stand for what matters ","","","I contribute my voice and others’ as well as time and money to causes I care about ","","","","Why wouldn’t I?","Nerdfighteria","","Not Female"
"80","Hufflepuff","USA","Missouri",27,"Once Upon A Time, Doctor Who, Supergirl, The Flash, Orphan Black... many others","Turtles All The Way Down by John Green","Making a difference in my community","","","I do what I can to take action and bring attention to the issues that are important to me.","","","","HPA gives me a great sense of purpose and belonging.","Social Media","","Female"
"81","Hufflepuff","USA","Colorado",49,"Marvel, Buffy and Angel, Stargate, Harry Potter, the Hunger Games, Glee","Artemis Fowl","Participating in addressing the issues facing our society.  Keeping abreast of the latest information regarding politics and social concerns.  Doing at least the very minimum and vote.  Reaching out and joining groups and actively participating in trying to make changes is the ideal.","I participate minimally but keep well informed about what is going on socially and politically ","","","","No idea - someone who takes a stand related to social concerns ","no idea","I'm not - I thought this was a HP test of some sort...","Social Media","","Female"
"82","Gryffindor","USA","Maryland",23,"Harry Potter, young adult literature, nerdfighters, figure skating, musical theatre","Raven Cycle series","","","","","","","","great friends",NA,"","Female"
"83","Slytherin","Great Britain",NA,23,"Hetalia / Grishaverse / Different mythologies  / Studio Ghibli / Lots of different animes / (There are so many more, but I'm drawing blanks!)","Chocolat","Standing up for things you believe in or are passionate about.","","","Because of political rallies and things that I've been too, and the online discussions I've participated in.","","No idea",NA,"I genuinely didn't realise that I had signed up - this came up on my newsfeed and thought that I should participate (as I try to stay active in all of the groups I'm in). I imagine that I haven't seen much of HPA due to FB algorithms.","Social Media",NA,"Female"
"84","Ravenclaw","USA","Maryland",30,"Star Wars, game of thrones ","A tangled mercy","","","","","","","","",NA,"Included fans who have conservative leanings","Female"
"85","Hufflepuff","USA","South Carolina",25,"The walking dead. Once upon a time. Idk if these are fandoms but i love the handmaids tale, harlots, freakish, and call the midwife","Order of the phoenix","","","","","Idk","No clue","","No clue",NA,"","Female"
"86","Ravenclaw","USA","Colorado",30,"Supernatural ","A man called ove ","It means standing up for what you believe in and taking action not just spitting words ","","","","","","","I enjoy the content and the platform ","Social Media","","Female"
